trade_num,balance,pnl,edge,side
1,1066.0313,66.0313,0.1142,YES
2,1145.1851,79.1539,0.1131,YES
3,1238.8834,93.6983,0.1374,YES
4,1326.7905,87.9071,0.1235,NO
5,1285.1995,-41.5910,0.0813,YES
6,1380.4012,95.2017,0.1075,NO
7,1276.5579,-103.8433,0.1396,NO
8,1377.8995,101.3416,0.1137,NO
9,1471.9239,94.0244,0.1049,NO
10,1325.7459,-146.1780,0.1742,YES
11,1400.4773,74.7315,0.1368,YES
12,1483.1026,82.6253,0.1419,NO
13,1558.0159,74.9133,0.1100,YES
14,1702.2028,144.1869,0.2134,NO
15,1556.4910,-145.7118,0.1771,NO
16,1448.0749,-108.4161,0.1162,YES
17,1524.9044,76.8295,0.1337,NO
18,1587.3138,62.4093,0.0819,NO
19,1461.4713,-125.8425,0.1623,NO
20,1343.7299,-117.7414,0.1709,YES
21,1431.1679,87.4381,0.1501,YES
22,1523.6675,92.4996,0.1556,NO
23,1402.7565,-120.9111,0.1557,NO
24,1326.0198,-76.7367,0.1239,NO
25,1395.7969,69.7771,0.1153,NO
26,1311.2649,-84.5321,0.1484,NO
27,1205.1961,-106.0688,0.1236,NO
28,1266.0789,60.8829,0.0934,YES
29,1330.4678,64.3888,0.1187,YES
30,1392.2854,61.8177,0.1006,NO
31,1492.3506,100.0652,0.1214,YES
32,1560.0460,67.6954,0.1049,YES
33,1656.1124,96.0663,0.1213,YES
34,1550.7900,-105.3224,0.1492,YES
35,1616.4830,65.6930,0.0899,NO
36,1685.7161,69.2331,0.0998,NO
37,1781.8613,96.1453,0.1178,YES
38,1699.5616,-82.2997,0.1164,YES
39,1821.5060,121.9444,0.1066,YES
40,1952.5016,130.9956,0.1246,NO
41,2052.1453,99.6438,0.1269,NO
42,2279.5371,227.3917,0.1623,YES
43,2443.5998,164.0627,0.1102,YES
44,2357.0087,-86.5910,0.0803,YES
45,2567.7874,210.7787,0.1333,YES
46,2764.2329,196.4455,0.1961,YES
47,2600.2655,-163.9674,0.1197,YES
48,2740.0434,139.7779,0.1396,NO
49,2915.4288,175.3854,0.1062,NO
50,3088.7223,173.2935,0.0987,NO
51,2943.5406,-145.1817,0.0895,YES
52,3200.2767,256.7361,0.2208,NO
53,2903.7426,-296.5341,0.1341,YES
54,2786.9176,-116.8250,0.1013,YES
55,2924.5241,137.6064,0.1219,YES
56,3207.6009,283.0768,0.1401,YES
57,3000.2136,-207.3873,0.0956,YES
58,3132.4387,132.2252,0.1077,NO
59,3317.9191,185.4804,0.1489,YES
60,3498.5276,180.6085,0.0827,YES
61,3308.9069,-189.6207,0.0845,NO
62,3511.8940,202.9871,0.1479,NO
63,3279.7113,-232.1827,0.0936,YES
64,3470.8204,191.1091,0.0888,YES
